,ï..Team,Signed,Avg.Age,Active.Cap,Dead.Cap,Total.Cap,Lux.Tax.Space,Cap.Space.,Practical.Cap.Space..,Coach.Tenure,OFFRTG,DEFRTG,Wins,Year,TOV.,ID,East,West
1,Atlanta Hawks,15,27.3,57245276,"$1,000,000 ",58328957,"$18,500,043*",4736043,4736043,2,108.2,102.2,60,2015,15,1,1,0
2,Boston Celtics,15,24.4,52905065,"$7,438,483 ",60403234,"$16,425,766*",2661766,2661766,2,103.8,103.5,40,2015,14.1,1,1,0
3,Brooklyn Nets,15,26.4,88024730,"$350,607 ",88429175,"($11,600,175)",-25364175,-25364175,1,103.3,106.3,38,2015,14.6,1,1,0
4,Charlotte Hornets,15,24.8,64710971,"$915,243 ",65680052,"$11,148,948*",-2615052,-2615052,2,99.5,103,33,2015,12.6,1,1,0
5,Chicago Bulls,14,27.8,67099204,"$333,333 ",67432537,"$9,396,463 ",-4367537,-4367537,5,106.3,103.3,50,2015,14.7,1,1,0
6,Cleveland Cavaliers,15,28.4,80811761,"$565,873 ",81377634,"($4,548,634)",-18312634,-18312634,1,110.1,105.3,53,2015,15.2,2,1,0
7,Dallas Mavericks,15,28.9,72183738,"$2,723,207 ",75014621,"$1,814,379 ",-11949621,-11949621,6,108.2,104.9,50,2015,13.3,2,1,0
8,Denver Nuggets,15,24.9,53359369,"$2,782,985 ",56142354,"$20,686,646*",6922646,6922646,0,103.8,107.1,30,2015,14.6,2,1,0
9,Detroit Pistons,15,26.7,49558917,"$14,097,726 ",63871995,"$12,957,005 ",-806995,-806995,1,104.3,105.4,32,2015,14.2,2,1,0
10,Golden State Warriors,15,26.4,71881167,"$644,240 ",72585093,"$4,243,907*",-9520093,-9520093,1,110.4,100.4,67,2015,14.5,2,1,0
11,Houston Rockets,15,26.7,71004520,"$3,045,729 ",74050249,"$2,778,751*",-10985249,-10985249,4,106,102.6,56,2015,17,3,1,0
12,Indiana Pacers,15,27.6,74798942,-,74798942,"$2,030,058*",-11733942,-11733942,5,102.9,102.7,38,2015,14.8,3,1,0
13,Los Angeles Clippers,15,28.3,77554797,"$2,666,743 ",80629773,"$-3,800,773*",-17564773,-17564773,2,111.5,104.7,56,2015,12.9,3,1,0
14,Los Angeles Lakers,16,25.8,59483328,"$10,783,000 ",70374042,"$6,454,958 ",-7309042,-7309042,1,102.2,109.4,21,2015,13.7,3,1,0
15,Memphis Grizzlies,15,27.1,73989079,"$657,723 ",74760326,"$2,068,674*",-11695326,-11695326,2,104.7,101.2,55,2015,14.2,3,1,0
16,Miami Heat,15,27.5,75084575,"$606,791 ",75966404,"$862,596 ",-12901404,-12901404,4,103.2,106.1,37,2015,16.1,4,1,0
17,Milwaukee Bucks,15,23.7,44560189,"$10,242,884 ",55114481,"$21,714,519 ",7950519,7950519,1,101.9,101.3,41,2015,17.4,4,1,0
18,Minnesota Timberwolves,16,25.1,64182806,"$3,459,307 ",67919790,"$8,909,210 ",-4854790,-4854790,1,101.8,110.9,16,2015,15.6,4,1,0
19,New Orleans Pelicans,14,25.4,68280315,"$1,821,872 ",70413595,"$6,415,405 ",-7348595,-7348595,5,107.1,106.3,45,2015,14.3,4,1,0
20,New York Knicks,15,25.5,54410045,"$25,848,489 ",80629628,"($3,800,628)",-17564628,-17564628,1,98.9,109,17,2015,15.8,4,1,0
21,Oklahoma City Thunder,15,25,77876390,"$915,243 ",78791633,"($1,962,633)",-15726633,-15726633,7,106.7,104.6,45,2015,15.1,5,1,0
22,Orlando Magic,15,24.7,41311716,"$14,705,259 ",58830518,"$20,812,025 ",4234482,7048025,0,101,106.8,25,2015,15.7,5,1,0
23,Philadelphia 76ers,16,23.7,34387296,"$22,416,388 ",63854302,"$19,905,944 ",-789302,6141944,1,94.8,103.9,18,2015,18.3,5,1,0
24,Phoenix Suns,15,25.5,55464385,"$4,509,503 ",60237268,"$16,591,732 ",2827732,2827732,2,104.2,105.3,39,2015,15.4,5,1,0
25,Portland Trail Blazers,15,26.5,72964755,"$30,000 ",72994755,"$3,834,245*",-9929755,-9929755,3,107.1,102.8,51,2015,14.2,5,1,0
26,Sacramento Kings,15,26.5,73061908,"$917,630 ",74176743,"$2,652,257*",-11111743,-11111743,0,104.5,108.2,29,2015,16.8,6,1,0
27,San Antonio Spurs,15,28.7,69028330,"$1,213,384 ",70379233,"$6,449,767*",-7314233,-7314233,16,107.6,101.3,55,2015,14.6,6,1,0
